,,informatics задачи - ссылка,informatics задачи - название,e-maxx-теория ссылки,e-maxx теория - название,,фоксфорд теория - ссылка,фоксфорд теория - заголовок,фоксфорд видео - ссылка,фоксфорд видео - заголовок,,ЛКШ видео - ссылка,ЛКШ видео заголовок,,,unique id,color,habr - ссылка,habr - заголовок
95,Поиск в глубину,http://informatics.mccme.ru/py-source/source/dir/240-387,,http://e-maxx.ru/algo/dfs,,,http://foxford.ru/wiki/informatika/algoritm-poiska-v-glubinu,,http://foxford.ru/wiki/informatika/algoritm-poiska-v-glubinu,,,http://sis.khashaev.ru/2013/august/c-prime/aX2vxp4NeqI/,Идея,20,16,95,graph,,
96,Другие линейные алгоритмы,,,,,,,,,,,,,20,17,96,search,,
97,Вещественный бинарный поиск,http://informatics.mccme.ru/py-source/source/dir/240-438,,,,,,,,,,,,20,18,97,search,,
98,Бинарный поиск по ответу,http://informatics.mccme.ru/py-source/source/dir/240-429,,,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/scSO8aMDGYQ/,,20,19,98,search,,
99,Порядковые статистики,http://informatics.mccme.ru/py-source/source/dir/240-431,,http://e-maxx.ru/algo/kth_order_statistics,,,,,,,,http://sis.khashaev.ru/2008/august/b-prime/itjUmHNrnA8/,,20,20,99,sort,,
100,Топологическая сортировка,,,http://e-maxx.ru/algo/topological_sort,,,,,,,,http://sis.khashaev.ru/2013/august/c-prime/RXGVcvGcKuE/,Топологическая сортировка,21,16,100,graph,http://habrahabr.ru/post/100953/,
101,Сканирующая прямая,http://informatics.mccme.ru/py-source/source/dir/240-430,,http://e-maxx.ru/algo/triangles_union,Площадь объединения треугольников,,,,,,,,,21,17,101,search,,
102,Метод двух указателей,http://informatics.mccme.ru/py-source/source/dir/240-454,,,,,,,,,,,,21,18,102,search,,
103,Тернарный поиск,http://informatics.mccme.ru/py-source/source/dir/240-452,,http://e-maxx.ru/algo/ternary_search,,,,,,,,,,21,19,103,search,,
3,Система независимых множеств,,,http://e-maxx.ru/algo/dsu,,,,,,,,,,,,,,,
